positiv,komparativ,superlativ
himmelschreiend,himmelschreiender,am himmelschreiendsten
alttestamentlich,—,—
maßlos,maßloser,am maßlosesten
stark,stärker,am stärksten
verwandtschaftlich,verwandtschaftlicher,am verwandtschaftlichsten
unerschließbar,—,—
diebisch,diebischer,am diebischsten
inkompatibilistisch,—,—
abdominal,—,—
mutterseelenallein,—,—
liquide,liquider,am liquidesten
unversiegbar,—,—
differenziell,—,—
metallorganisch,—,—
akzeptiert,akzeptierter,am akzeptiertesten
verwortakelt,—,—
nächstbeste,—,—
zwiegespalten,—,—
sechzigpfündig,—,—
charakteristisch,charakteristischer,am charakteristischsten
locker,lockerer,am lockersten
mündig,mündiger,am mündigsten
lecker,leckererleckrer,am leckersten
sozioökonomisch,—,—
ungebührlich,ungebührlicher,am ungebührlichsten
diskursiv,—,—
erklärungsbedürftig,erklärungsbedürftiger,am erklärungsbedürftigsten
kriegserfahren,kriegserfahrener,am kriegserfahrensten
weinig,weiniger,am weinigsten
ruppig,ruppiger,am ruppigsten
postmortal,—,—
treife,—,—
flachbödig,—,—
eigensinnig,eigensinniger,am eigensinnigsten
kess,kesser,am kessesten
assertorisch,assertorischer,am assertorischsten
superb,superber,am superbsten
erregt,erregter,am erregtesten
beeindruckend,beeindruckender,am beeindruckendsten
verzögerungsfrei,—,—
praxisfern,praxisferner,am praxisfernsten
zirzensisch,zirzensischer,am zirzensischsten
judenfeindlich,judenfeindlicher,am judenfeindlichsten
gleichbedeutend,—,—
ausgefranst,ausgefranster,am ausgefranstesten
großformatig,—,—
regelwidrig,—,—
wildromantisch,—,—
subsumtiv,—,—
unbelebt,unbelebter,am unbelebtesten
gelagert,—,—
achtsemestrig,—,—
scheinselbständig,—,—
pharmazeutisch,—,—
unruhig,unruhiger,am unruhigsten
hauchdünn,hauchdünner,am hauchdünnsten
bodennah,bodennäher,am bodennächsten
hierortig,—,—
ornithologisch,—,—
verfassungsgesetzlich,—,—
schrappig,—,—
hämolytisch,—,—
sowjetzonal,—,—
heterogen,—,—
demotisch,—,—
saugut,—,—
pommersch,—,—
unmaßgeblich,unmaßgeblicher,am unmaßgeblichsten
illegal,illegaler,am illegalsten
bilingue,—,—
dunkelrot,dunkelroterdunkelröterdunklerrot,am dunkelrotestenam dunkelrötesten
30er,—,—
antragstellend,—,—
ovovivipar,—,—
urinal,—,—
totenblass,—,—
neolamarckistisch,—,—
isotrop,—,—
grob,gröber,am gröbsten
beleihbar,—,—
fahruntüchtig,fahruntüchtiger,am fahruntüchtigsten
vollkommen,vollkommener,am vollkommensten
submarin,—,—
prätentiös,prätentiöser,am prätentiösesten
zentralasiatisch,—,—
überfallartig,—,—
gendergerecht,gendergerechter,am gendergerechtesten
auswärtig,—,—
endgeil,—,—
relational,—,—
weißfeldrig,—,—
multinational,—,—
abgeborsten,—,—
lichtlos,—,—
spätrömisch,—,—
unecht,unechter,am unechtesten
dezisionistisch,dezisionistischer,am dezisionistischsten
megaloman,megalomaner,am megalomansten
altfranzösisch,—,—
versandkostenfrei,—,—
ontogenetisch,—,—
ökonomisch,ökonomischer,am ökonomischsten
seniorentauglich,seniorentauglicher,am seniorentauglichsten
national,nationaler,am nationalsten
bronzezeitlich,—,—
kampfunfähig,—,—
aptiert,—,—
südatlantisch,—,—
epochal,epochaler,am epochalsten
korrektiv,—,—
wahrlich,wahrlicher,am wahrlichsten
-,-,-
proteisch,proteischer,am proteischsten
ultramontan,—,—
klastisch,—,—
feststellbar,—,—
einstig,—,—
sacht,sachter,am sachtesten
symptomfrei,—,—
erwerbbar,—,—
batisten,—,—
kistenartig,—,—
arrhythmisch,—,—
zappelig,zappeliger,am zappeligsten
radial,—,—
rastlos,rastloser,am rastlosesten
transparent,transparenter,am transparentesten
finanzpolitisch,—,—
bestrickend,bestrickender,am bestrickendsten
ehemalig,—,—
spindelförmig,—,—
olivenschwarz,—,—
ästhetisch,ästhetischer,am ästhetischsten
ungepflegt,ungepflegter,am ungepflegtesten
doof,dooferdöfer,am doofstenam döfsten
nahtlos,nahtloser,am nahtlosesten
leichtherzig,leichtherziger,am leichtherzigsten
gutgläubig,gutgläubiger,am gutgläubigsten
unüblich,unüblicher,am unüblichsten
pausenlos,—,—
schätzomativ,—,—
peripher,—,—
butchig,butchiger,am butchigsten
allergisch,allergischer,am allergischsten
melodisch,melodischer,am melodischsten
höfflich,höfflicher,am höfflichsten
affengeil,affengeiler,am affengeilsten
misogyn,misogyner,am misogynsten
schriftlos,—,—
sonngebräunt,sonngebräunter,am sonngebräuntesten
originalgetreu,originalgetreuer,am originalgetreuestenam originalgetreusten
verformbar,verformbarer,am verformbarsten
frostempfindlich,frostempfindlicher,am frostempfindlichsten
blöd,blöder,am blödesten
hartgesotten,hartgesottnerhartgesottener,am hartgesottensten
antimonhaltig,antimonhaltiger,am antimonhaltigsten
-,-,-
schwanzlos,—,—
phosphathaltig,—,—
unregelmäßig,unregelmäßiger,am unregelmäßigsten
schaßaugert,—,—
achtundzwanzigste,—,—
knollig,knolliger,am knolligsten
geizig,geiziger,am geizigsten
unbehelligt,unbehelligter,am unbehelligtesten
subungual,—,—
regnerisch,regnerischer,am regnerischsten
wieselflink,—,—
total,—,—
-,-,-
kubistisch,kubistischer,am kubistischsten
gleichseitig,—,—
jubelnd,—,—
pragmatisch,pragmatischer,am pragmatischsten
zivilrechtlich,—,—
unbespielbar,—,—
verzweifelt,verzweifelter,am verzweifeltsten
befranst,—,—
religionskritisch,—,—
weiterverarbeitet,—,—
austral,—,—
gemeinwohlorientiert,gemeinwohlorientierter,am gemeinwohlorientiertesten
präpositional,—,—
zentripetal,—,—
volkseigen,—,—
beliebt,beliebter,am beliebtesten
grobkörnig,grobkörniger,am grobkörnigsten
ausgewachsen,—,—
isländisch,isländischer,am isländischsten
trainiert,trainierter,am trainiertesten
ottonisch,—,—
urlaubsreif,urlaubsreifer,am urlaubsreifsten
5-tägig,—,—
antizyklisch,—,—
10-tägig,—,—
bilateral,—,—
illiterat,—,—
populär,populärer,am populärsten
unkultiviert,unkultivierter,am unkultiviertesten
saturiert,saturierter,am saturiertesten
herzallerliebst,—,—
soteriologisch,—,—
einunddreißigste,—,—
festgemacht,—,—
ubiquitär,—,—
zapotekisch,—,—
propositional,—,—
wahlentscheidend,wahlentscheidender,am wahlentscheidendsten
salpeterhaltig,—,—
geschmacksneutral,—,—
korken,—,—
erdfern,erdferner,am erdfernsten
polygam,—,—
südseitig,—,—
wasserabstoßend,—,—
arbeitserschwerend,—,—
furztrocken,furztrockener,am furztrockensten
kanzerogen,kanzerogener,am kanzerogensten
brünett,—,—
unzutreffend,unzutreffender,am unzutreffendsten
septiert,—,—
ätherisch,ätherischer,am ätherischsten
verschiedenförmig,verschiedenförmiger,am verschiedenförmigsten
olivfarben,—,—
mehrklassig,—,—
HIV-positiv,—,—
alternativ,alternativer,am alternativsten
dezent,dezenter,am dezentesten
uneinziehbar,—,—
verstaubt,verstaubter,am verstaubtesten
spärlich,spärlicher,am spärlichsten
mulmig,mulmiger,am mulmigsten
infanteristisch,—,—
abgehoben,abgehobener,am abgehobensten
allabendlich,—,—
mengenmäßig,—,—
bänkelsängerisch,—,—
schülbrig,—,—
unübertragbar,—,—
pektoral,—,—
leinwand,leinwander,am leinwandsten
bundeseinheitlich,—,—
nachwachsend,—,—
dogmengeschichtlich,—,—
ungeschlacht,ungeschlachter,am ungeschlachtesten
spiegelverkehrt,—,—
kratzig,kratziger,am kratzigsten
filmisch,—,—
transatlantisch,—,—
zehnjährig,—,—
rabbinisch,—,—
arsenig,—,—
feuerbeständig,feuerbeständiger,am feuerbeständigsten
klagbar,—,—
erwünscht,erwünschter,am erwünschtesten
syndetisch,—,—
übersteigbar,—,—
prodromal,—,—
zufällig,—,—
vierjährig,—,—
begeißelt,—,—
gerecht,gerechter,am gerechtesten
golden,goldenergoldner,am goldensten
k. o.,—,—
rechtspopulistisch,rechtspopulistischer,am rechtspopulistischsten
widergöttlich,widergöttlicher,am widergöttlichsten
aufrecht,aufrechter,am aufrechtesten
gegnerisch,—,—
pietistisch,pietistischer,am pietistischsten
unstreitig,unstreitiger,am unstreitigsten
schizophren,—,—
indifferent,indifferenter,am indifferentesten
heilbar,—,—
blank,blanker,am blankstenam blankesten
sinnvoll,sinnvoller,am sinnvollsten
optimal,optimaler,am optimalsten
verbohrt,verbohrter,am verbohrtesten
annalistisch,annalistischer,am annalistischsten
blickdicht,blickdichter,am blickdichtesten
hydrophil,—,—
herbizid,—,—
pneumatisch,—,—
unilateral,—,—
sanitär,—,—
akkubetrieben,—,—
degenerativ,degenerativer,am degenerativsten
impfmüde,impfmüder,am impfmüdesten
schwerreich,—,—
pandemisch,pandemischer,am pandemischsten
vanille,—,—
dutzendfach,—,—
birnenförmig,—,—
gravitativ,—,—
irokesisch,—,—
naturgemäß,naturgemäßer,am naturgemäßesten
prozentual,—,—
zehnstündig,—,—
sturmgepeitscht,—,—
viruzid,—,—
fachbeschränkt,—,—
beinhart,—,—
geologisch,—,—
überreichlich,überreichlicher,am überreichlichsten
unduldsam,unduldsamer,am unduldsamsten
streitsüchtig,streitsüchtiger,am streitsüchtigsten
resistent,resistenter,am resistentesten
werbewirksam,werbewirksamer,am werbewirksamsten
enragiert,enragierter,am enragiertesten
autozentriert,—,—
unverwundbar,—,—
pflichtversichert,—,—
linksalternativ,linksalternativer,am linksalternativsten
abartig,abartiger,am abartigsten
myeloid,—,—
methodologisch,methodologischer,am methodologischsten
dienstbar,dienstbarer,am dienstbarsten
unergründbar,—,—
statistisch,—,—
alveolar,—,—
mause,—,—
braunhaarig,—,—
selbstbewusst,selbstbewusster,am selbstbewusstesten
wundervoll,wundervoller,am wundervollsten
rechtslastig,rechtslastiger,am rechtslastigsten
anästhesiologisch,—,—
eindrucksvoll,eindrucksvoller,am eindrucksvollsten
karolingisch,—,—
kräftig,kräftiger,am kräftigsten
erfolglos,erfolgloser,am erfolglosesten
tagaktiv,—,—
konvers,—,—
einhundertste,—,—
feindselig,feindseliger,am feindseligsten
Turing-mächtig,—,—
erotomanisch,—,—
summativ,—,—
rücklaufend,—,—
askanisch,—,—
kerngesund,—,—
eigenhändig,—,—
beutegierig,beutegieriger,am beutegierigsten
flauschig,flauschiger,am flauschigsten
trilateral,—,—
recht,rechter,am rechtesten
postsexuell,—,—
weise,weiser,am weisesten
ruckelig,ruckeliger,am ruckeligsten
krisengebeutelt,—,—
dissidentisch,dissidentischer,am dissidentischsten
ungebacken,—,—
zähmbar,—,—
ocker,—,—
spaßfrei,—,—
gräulich,gräulicher,am gräulichsten
lebenswert,lebenswerter,am lebenswertesten
nachgeboren,—,—
CDU-geführt,—,—
pfefferig,pfefferiger,am pfefferigsten
sechzehntägig,—,—
zwischenstaatlich,—,—
verwaschen,verwaschener,am verwaschensten
nötig,nötiger,am nötigsten
metallfarben,—,—
aleppinisch,—,—
verhältnismäßig,verhältnismäßiger,am verhältnismäßigsten
osterländisch,—,—
druckfest,druckfester,am druckfestesten
mantisch,—,—
analgetisch,analgetischer,am analgetischsten
depretiativ,depretiativer,am depretiativsten
schnieke,schnieker,am schniekstenam schniekesten
mohrenschwarz,—,—
abwählbar,—,—
duodenal,—,—
80-prozentig,—,—
folgend,—,—
siebenbürgisch,—,—
wirkungslos,wirkungsloser,am wirkungslosesten
reizlos,reizloser,am reizlosesten
empfindsam,empfindsamer,am empfindsamsten
langwellig,langwelliger,am langwelligsten
neu,neuer,am neustenam neuesten
fallend,—,—
unaussprechlich,unaussprechlicher,am unaussprechlichsten
subaquatisch,—,—
übelnehmerisch,übelnehmerischer,am übelnehmerischsten
komorbid,—,—
engelgleich,—,—
teilhaftig,—,—
europazentriert,—,—
zuckrig,—,—
unbenutzt,—,—
stilmäßig,stilmäßiger,am stilmäßigsten
kulturfreundlich,kulturfreundlicher,am kulturfreundlichsten
gleich,gleicher,—
neuzeitlich,neuzeitlicher,am neuzeitlichsten
emblematisch,emblematischer,am emblematischsten
windstill,—,—
tonhältig,tonhältiger,am tonhältigsten
zinnen,—,—
pubertär,pubertärer,am pubertärsten
vorder,—,am vordersten
koaxial,—,—
gehörig,gehöriger,am gehörigsten
couragiert,couragierter,am couragiertesten
schulisch,—,—
unschuldsvoll,unschuldsvoller,am unschuldsvollsten
schickimicki,—,—
hanseatisch,—,—
antiautoritär,antiautoritärer,am antiautoritärsten
aasfräßig,—,—
lukulent,—,—
dreißigfach,—,—
frühkindlich,—,—
blumig,blumiger,am blumigsten
solidarisch,solidarischer,am solidarischsten
vergriffen,—,—
unparteiisch,unparteiischer,am unparteiischsten
postprandial,—,—
schalähnlich,—,—
hälftig,—,—
adipös,—,—
mitgenommen,mitgenommener,am mitgenommensten
prismenförmig,—,—
rüüdig,rüüdiger,am rüüdigsten
vorwurfsvoll,vorwurfsvoller,am vorwurfsvollsten
bauchig,bauchiger,am bauchigsten
gebraucht,—,—
bestechend,bestechender,am bestechendsten
umwölkt,—,—
raffsüchtig,—,—
witterungsbeständig,—,—
armeeeigen,—,—
betrugsanfällig,betrugsanfälliger,am betrugsanfälligsten
getriebelos,—,—
zögernd,—,—
offenbar,offenbarer,am offenbarsten
vermögenslos,—,—
gutsituiert,—,—
intersektoral,—,—
sickich,sickicher,am sickichsten
perfektisch,—,—
unterschiedslos,unterschiedsloser,am unterschiedslosesten
abkömmlich,—,—
hohlwangig,hohlwangiger,am hohlwangigsten
haitianisch,—,—
moselromanisch,—,—
informell,informeller,am informellsten
abgespannt,abgespannter,am abgespanntesten
zweckbetont,zweckbetonter,am zweckbetontesten
non-binär,—,—
verschwenderisch,verschwenderischer,am verschwenderischsten
stad,—,—
alltagstauglich,alltagstauglicher,am alltagstauglichsten
medizinhistorisch,—,—
hochdeutsch,—,—
altmodisch,altmodischer,am altmodischsten
unglücklich,unglücklicher,am unglücklichsten
sprachfertig,sprachfertiger,am sprachfertigsten
pastellfarben,—,—
unzeitgemäß,unzeitgemäßer,am unzeitgemäßesten
sexual,sexualer,am sexualsten
fähig,fähiger,am fähigsten
kampffähig,kampffähiger,am kampffähigsten
prototypisch,prototypischer,am prototypischsten
tadelnswürdig,tadelnswürdiger,am tadelnswürdigsten
ringhörig,—,—
waldig,waldiger,am waldigsten
avicennisch,—,—
geschäftlich,—,—
konzis,konziser,am konzisesten
säuerlich,säuerlicher,am säuerlichsten
umläufig,umläufiger,am umläufigsten
quantenphysikalisch,—,—
zackig,zackiger,am zackigsten
einsilbig,einsilbiger,am einsilbigsten
beschützt,beschützter,am beschütztesten
enthusiastisch,enthusiastischer,am enthusiastischsten
automobil,—,—
retinotop,—,—
territorial,—,—
zuschlagsfrei,—,—
prosozial,prosozialer,am prosozialsten
überhastet,überhasteter,am überhastetsten
vierzigste,—,—
kongolesisch,—,—
fachübergreifend,—,—
beidbeinig,—,—
pränatal,—,—
unantastbar,—,—
strukturiert,strukturierter,am strukturiertesten
volitional,—,—
landesbedeutsam,—,—
inzident,—,—
nebelig,nebeliger,am nebeligsten
dysplastisch,—,—
fraglich,fraglicher,am fraglichsten
silbrig,—,—
papistisch,papistischer,am papistischsten
unterlegen,unterlegener,am unterlegensten
plattformabhängig,plattformabhängiger,am plattformabhängigsten
schlitzäugig,schlitzäugiger,am schlitzäugigsten
abrasiv,abrasiver,am abrasivsten
montäglich,—,—
delatorisch,delatorischer,am delatorischsten
schmerzarm,schmerzärmer,am schmerzärmsten
polydispers,—,—
angesehen,angesehenerangesehner,am angesehensten
makaber,makaberermakabrer,am makabersten
minimalinvasiv,—,—
affigierend,—,—
dreimalig,—,—
frenetisch,frenetischer,am frenetischsten
skandinavisch,—,—
veraltet,veralteter,am veraltetsten
parametrisch,—,—
ländisch,—,—
anreißerisch,—,—
frauenfeindlich,frauenfeindlicher,am frauenfeindlichsten
morphematisch,—,—
dalberig,—,—
schwarz-weiß,—,—
überzeugend,überzeugender,am überzeugendsten
klinisch,klinischer,am klinischsten
eklektizistisch,eklektizistischer,am eklektizistischsten
tierisch,tierischer,am tierischsten
westslawisch,—,—
reziprok,—,—
kuwaitisch,—,—
niederdeutsch,—,—
konsistent,konsistenter,am konsistentesten
exotherm,—,—
unbezweifelbar,unbezweifelbarer,am unbezweifelbarsten
stoisch,stoischer,am stoischsten
humanpsychologisch,—,—
unflektierbar,—,—
steuerbar,—,—
perniziös,perniziöser,am perniziösesten
unverführbar,—,—
bügelecht,—,—
guatemaltekisch,—,—
lebensbedrohlich,lebensbedrohlicher,am lebensbedrohlichsten
interessant,interessanter,am interessantesten
ungelegen,—,—
zyanotisch,—,—
oberitalienisch,—,—
verkauft,—,—
diskrepant,diskrepanter,am diskrepantesten
amyloid,amyloider,am amyloidesten
gewohnt,—,—
taubenblau,—,—
rauschgiftsüchtig,—,—
wohnhaft,—,—
bewittert,—,—
fix,fixer,am fixesten
atavistisch,atavistischer,am atavistischsten
gastrisch,—,—
preisintensiv,preisintensiver,am preisintensivsten
räderlos,—,—
vorrangig,vorrangiger,am vorrangigsten
erleuchtet,—,—
puristisch,—,—
wächsern,—,—
atrophisch,—,—
bergamaskisch,—,—
geruchsspezifisch,geruchsspezifischer,am geruchsspezifischsten
populistisch,populistischer,am populistischsten
rollenförmig,—,—
wechselwarm,—,—
Bad Iburger,—,—
gichtig,—,—
fünfwöchentlich,—,—
trügerisch,trügerischer,am trügerischsten
paraphyletisch,—,—
unvorhersehbar,unvorhersehbarer,am unvorhersehbarsten
hirntot,—,—
zweisemestrig,—,—
notgeil,notgeiler,am notgeilsten
verstopft,verstopfter,am verstopftesten
hundertpro,—,—
halsstarrig,halsstarriger,am halsstarrigsten
inkongruent,inkongruenter,am inkongruentesten
seismografisch,—,—
angehimmelt,angehimmelter,am angehimmeltsten
makroskopisch,—,—
schmerzhaft,schmerzhafter,am schmerzhaftesten
dement,dementer,am dementesten
abschlägig,—,—
definierbar,—,—
monomanisch,—,—
schlierig,schlieriger,am schlierigsten
unterjährig,—,—
plosiv,—,—
siegreich,siegreicher,am siegreichsten
fragwürdig,fragwürdiger,am fragwürdigsten
3-wöchig,—,—
dynamometamorph,—,—
neblig,nebliger,am nebligsten
laff,laffer,am laffsten
stubenrein,stubenreiner,am stubenreinsten
unabänderlich,unabänderlicher,am unabänderlichsten
fachgebunden,—,—
exspiratorisch,—,—
konjugierbar,—,—
vierwöchig,—,—
zwanzigfach,—,—
proppevoll,—,—
überlebensgroß,—,—
testierfähig,—,—
noetisch,—,—
entrisch,entrischer,am entrischsten
strafprozessual,—,—
unbeweisbar,—,—
zuschauerschwach,zuschauerschwächer,am zuschauerschwächsten
exogam,—,—
niedrigschwellig,niedrigschwelliger,am niedrigschwelligsten
gnädig,gnädiger,am gnädigsten
kurzwellig,kurzwelliger,am kurzwelligsten
westeuropäisch,westeuropäischer,am westeuropäischsten
rheinfränkisch,—,—
tipptopp,—,—
widerwärtig,widerwärtiger,am widerwärtigsten
elektrisiert,—,—
gefälscht,—,—
klösterlich,—,—
schlapp,schlapper,am schlappsten
unterbesetzt,—,—
schwarzäugig,schwarzäugiger,am schwarzäugigsten
datenschutzkonform,—,—
löffelartig,—,—
hautnah,—,—
anormal,anormaler,am anormalsten
verbarrikadiert,—,—
pappsatt,—,—
verfassunggebend,—,—
situiert,situierter,am situiertesten
blau gestreift,—,—
freventlich,freventlicher,am freventlichsten
dreihundertste,—,—
minderschwer,—,—
hybrid,—,—
agamisch,—,—
bandförmig,—,—
räß,räßer,am räßesten
vorherbestimmt,—,—
potenzsteigernd,potenzsteigernder,am potenzsteigerndsten
ganzseitig,—,—
bewusstlos,—,—
ratsam,ratsamer,am ratsamsten
woke,—,—
Tb-krank,—,—
gewährleistet,—,—
Bad Schandauer,—,—
amtsbekannt,—,—
ober,—,am oberst
verkehrspädagogisch,—,—
zwölfmalig,—,—
interglazial,—,—
größtmöglich,—,—
handgreiflich,handgreiflicher,am handgreiflichsten
personell,—,—
unverantwortlich,unverantwortlicher,am unverantwortlichsten
sternförmig,—,—
unfundierbar,—,—
honigsüß,—,—
sekret,sekreter,am sekretesten
innerasiatisch,—,—
abgabenfrei,—,—
musikologisch,—,—
halogenfrei,—,—
steinern,—,—
notariell,—,—
verteidigungsbereit,—,—
zweireihig,—,—
hinterlastig,hinterlastiger,am hinterlastigsten
amikal,—,—
semitisch,—,—
parenteral,—,—
unveröffentlicht,—,—
-,-,-
karlistisch,—,—
fünftägig,—,—
Bad Frankenhausener,—,—
rosé,—,—
wasserundurchlässig,wasserundurchlässiger,am wasserundurchlässigsten
taubblind,—,—
pommerisch,—,—
kontextfrei,—,—
gesalzen,gesalzenergesalzner,am gesalzensten
beruflich,—,—
attraktiv,attraktiver,am attraktivsten
einhellig,einhelliger,am einhelligsten
punktlos,—,—
würdelos,würdeloser,am würdelosesten
tätlich,—,—
teilbar,—,—
reparierbar,—,—
aussätzig,—,—
energiebewusst,energiebewusster,am energiebewusstesten
kommunikationsstark,kommunikationsstärker,am kommunikationsstärksten
ösophagisch,—,—
vorbildhaft,vorbildhafter,am vorbildhaftesten
störanfällig,störanfälliger,am störanfälligsten
unbedenklich,unbedenklicher,am unbedenklichsten
psychotisch,psychotischer,am psychotischsten
belangvoll,belangvoller,am belangvollsten
falunrot,—,—
nervig,nerviger,am nervigsten
islamisch,islamischer,am islamischsten
lasziv,lasziver,am laszivsten
wirsch,wirscher,am wirschestenam wirschsten
reinleinen,—,—
palisandern,—,—
siebenteilig,—,—
flügge,—,—
durchgelüftet,—,—
mondbeschienen,—,—
abwendbar,—,—
positivistisch,positivistischer,am positivistischsten
schnell,schneller,am schnellsten
deontologisch,—,—
mannmännlich,—,—
andersfarbig,—,—
vergöttert,vergötterter,am vergöttertsten
ostmitteldeutsch,—,—
achtzigprozentig,—,—
mitteilsam,mitteilsamer,am mitteilsamsten
schattenhaft,schattenhafter,am schattenhaftesten
unprätentiös,unprätentiöser,am unprätentiösesten
postmodern,postmoderner,am postmodernsten
sommerfest,—,—
fruchtig,fruchtiger,am fruchtigsten
marode,maroder,am marodesten
dreißigprozentig,—,—
antidepressiv,—,—
9-seitig,—,—
lotrecht,lotrechter,am lotrechtesten
schröcklich,schröcklicher,am schröcklichsten
clownesk,clownesker,am clowneskesten
knotenförmig,—,—
vorgestellt,—,—
ziemlich,ziemlicher,am ziemlichsten
pummelig,pummeliger,am pummeligsten
toll,toller,am tollsten
lautmalerisch,lautmalerischer,am lautmalerischsten
elfprozentig,—,—
neurasthenisch,—,—
kumpelhaft,kumpelhafter,am kumpelhaftesten
stichometrisch,—,—
unbeschadet,—,—
europäisch,europäischer,am europäischsten
homiletisch,—,—
abgesprochen,—,—
buntfarbig,—,—
pentavalent,—,—
unterzählig,—,—
sexuell,sexueller,am sexuellsten
interpretierbar,interpretierbarer,am interpretierbarsten
legitimistisch,—,—
gynäkologisch,—,—
divisibel,—,—
ohnegleichen,—,—
vermittelbar,vermittelbarer,am vermittelbarsten
äbsch,äbscher,am äbschsten
ungetan,—,—
getauft,—,—
filamentartig,—,—
betriebsbedingt,—,—
argumentativ,argumentativer,am argumentativsten
randomisiert,—,—
wissentlich,—,—
unabhängig,unabhängiger,am unabhängigsten
gedankenversunken,—,—
arztpflichtig,—,—
erste,—,—
baustellenbedingt,—,—
rührend,rührender,am rührendsten
völkerrechtswidrig,—,—
profitabel,profitabler,am profitabelsten
beschlossen,—,—
gefochten,—,—
quartär,—,—
xerographisch,—,—
sächlich,—,—
geschmäcklerisch,geschmäcklerischer,am geschmäcklerischsten
awestisch,—,—
richtungweisend,richtungweisender,am richtungweisendsten
wandlungsfähig,wandlungsfähiger,am wandlungsfähigsten
proximal,—,—
föderal,föderaler,am föderalsten
intim,intimer,am intimsten
partizipial,—,—
unzertrennbar,unzertrennbarer,am unzertrennbarsten
sprichwörtlich,—,—
ungleich,—,—
hochgeachtet,—,—
altbacken,altbackneraltbackener,am altbackensten
nonkonform,—,—
verschmitzt,verschmitzter,am verschmitztesten
zweckhaft,zweckhafter,am zweckhaftesten
infektiös,infektiöser,am infektiösesten
halal,—,—
chinakritisch,—,—
mutuell,—,—
inkommensurabel,—,—
abendländisch,—,—
halbnackt,—,—
metrosexuell,—,—
nullwertig,—,—
verurteilt,—,—
startbereit,—,—
—,—,am zweitkleinsten
maßvoll,maßvoller,am maßvollsten
himbeerfarben,—,—
altweltlich,—,—
partikular,—,—
unwiderlegbar,—,—
selbstsicher,selbstsichererselbstsichrer,am selbstsichersten
fünffach,—,—
fleischfressend,—,—
kastriert,—,—
einfach,einfacher,am einfachsten
azonal,—,—
kristallklar,—,—
talmudisch,talmudischer,am talmudischsten
rovibronisch,—,—
wehrhaft,wehrhafter,am wehrhaftesten
porzellanen,—,—
gerontopsychiatrisch,—,—
konträr,konträrer,am konträrsten
bereinigt,—,—
einmotorig,—,—
tunesisch,—,—
pyrotechnisch,—,—
bairisch,—,—
rücksichtslos,rücksichtsloser,am rücksichtslosesten
vorschriftsgemäß,vorschriftsgemäßer,am vorschriftsgemäßesten
preiswürdig,preiswürdiger,am preiswürdigsten
-,-,-
kathodenseitig,—,—
bevölkerungsreich,bevölkerungsreicher,am bevölkerungsreichsten
reaktiviert,—,—
wortwörtlich,—,—
russischstämmig,—,—
erkennungsdienstlich,—,—
gewieft,gewiefter,am gewieftesten
obig,—,—
verleumderisch,verleumderischer,am verleumderischsten
zylindrisch,—,—
integral,integraler,am integralsten
großzügig,großzügiger,am großzügigsten
mystizistisch,—,—
lizenziert,—,—
pfenniggut,—,—
unverheiratet,—,—
nährstoffreich,nährstoffreicher,am nährstoffreichsten
homoiohydrisch,—,—
different,differenter,am differentesten
streifenförmig,—,—
zulänglich,zulänglicher,am zulänglichsten
unbändig,unbändiger,am unbändigsten
evident,evidenter,am evidentesten
geostationär,—,—
nieder,niedererniedrer,am niedersten
kupferbeschlagen,—,—
gotisch,—,—
auxoheterotroph,—,—
wichtig,wichtiger,am wichtigsten
togoisch,—,—
ekelig,ekeliger,am ekeligsten
klerikal,—,—
gegenteilig,—,—
schirch,schircher,am schirchstenam schirchesten
schwerelos,—,—
unsterblich,—,—
indikativisch,—,—
dahingestellt,—,—
heikelig,heikeliger,am heikeligsten
anstellig,anstelliger,am anstelligsten
lydisch,—,—
slawisch,slawischer,am slawischsten
verderbt,verderbter,am verderbtesten
fremd,fremder,am fremdesten
bleihaltig,bleihaltiger,am bleihaltigsten
drahtlos,—,—
hypodorisch,—,—
akademisch,—,—
mild,milder,am mildesten
mager,magerer,am magersten
angewidert,angewiderter,am angewidertsten
schneckenartig,—,—
dehydriert,dehydrierter,am dehydriertesten
monegassisch,—,—
abstrakt,abstrakter,am abstraktesten
simbabwisch,—,—
forstlich,—,—
12-seitig,—,—
durchschlagend,durchschlagender,am durchschlagendsten
heiratsfähig,—,—
naturnah,—,—
körperlich,körperlicher,am körperlichsten
sturzbesoffen,—,—
unartig,unartiger,am unartigsten
extravagant,extravaganter,am extravagantesten
beherzt,beherzter,am beherztesten
komputativ,—,—
strohgedeckt,—,—
theorielastig,theorielastiger,am theorielastigsten
kaki,—,—
grafithaltig,grafithaltiger,am grafithaltigsten
entbehrungsreich,entbehrungsreicher,am entbehrungsreichsten
klasse,—,—
berufsunfähig,berufsunfähiger,am berufsunfähigsten
quietschend,—,—
zahlungskräftig,zahlungskräftiger,am zahlungskräftigsten
waise,—,—
protestantisch,protestantischer,am protestantischsten
erzählenswert,erzählenswerter,am erzählenswertesten
geschichtlich,—,—
außerparteilich,—,—
risikoaffin,risikoaffiner,am risikoaffinsten
wasserdicht,wasserdichter,am wasserdichtesten
polyphyletisch,—,—
futuristisch,futuristischer,am futuristischsten
nassgeschwitzt,—,—
lernwillig,lernwilliger,am lernwilligsten
patentiert,—,—
unzweifelhaft,—,—
verschieden,verschiednerverschiedener,am verschiedensten
hoch kompliziert,höher kompliziert,höchst kompliziert
