positiv,komparativ,superlativ
4-wöchig,—,—
dunkelfarben,—,—
botrytisiert,—,—
anfechtbar,—,—
maligne,—,—
schnurrbärtig,—,—
hügelig,hügeliger,am hügeligsten
demokratiefreundlich,demokratiefreundlicher,am demokratiefreundlichsten
kollaborativ,kollaborativer,am kollaborativsten
überdacht,—,—
telegraphisch,—,—
empörerisch,empörerischer,am empörerischsten
nennenswert,nennenswerter,am nennenswertesten
langgestreckt,—,—
ausklappbar,—,—
subkulturell,—,—
unbeglichen,—,—
fahrerlos,—,—
-,-,-
polyamor,—,—
rissig,rissiger,am rissigsten
wartungsfrei,—,—
außergalaktisch,—,—
furchtbar,furchtbarer,am furchtbarsten
quellbar,—,—
zahnmedizinisch,—,—
kleidsam,kleidsamer,am kleidsamsten
beschaffbar,—,—
essentiell,essentieller,am essentiellsten
geschlechtsreif,—,—
prorussisch,—,—
wahr,wahrer,am wahrsten
zweidimensional,—,—
nordisch,nordischer,am nordischsten
versklavt,—,—
haarlos,—,—
ineffektiv,ineffektiver,am ineffektivsten
patriotisch,patriotischer,am patriotischsten
unzumutbar,—,—
lettisch,lettischer,am lettischsten
narrativ,—,—
hitzebeständig,hitzebeständiger,am hitzebeständigsten
doppeltgemoppelt,—,—
verschleißfest,verschleißfester,am verschleißfestesten
gut betucht,—,—
leistungsstark,leistungsstärker,am leistungsstärksten
bulgarisch,bulgarischer,am bulgarischsten
interorbital,—,—
ungesichert,—,—
äonisch,—,—
oknophil,oknophiler,am oknophilsten
verrentet,—,—
mehrst,—,—
dominant,dominanter,am dominantesten
hochverehrt,—,—
perlmuttern,—,—
untätig,untätiger,am untätigsten
bäuerlich,bäuerlicher,am bäuerlichsten
eirund,—,—
artfremd,—,—
geartet,—,—
feucht,feuchter,am feuchtesten
progredient,—,—
sadistisch,sadistischer,am sadistischsten
-,-,-
barsch,barscher,am barschestenam barschsten
kosmetisch,—,—
erzhaltig,erzhaltiger,am erzhaltigsten
gesund,gesündergesunder,am gesündestenam gesundesten
rappelvoll,—,—
wohlig,wohliger,am wohligsten
betagt,betagter,am betagtesten
fimschig,—,—
lokrisch,—,—
antikolonial,—,—
chüschtig,—,—
achtzehnstündig,—,—
schwachsinnig,schwachsinniger,am schwachsinnigsten
schrottreif,schrottreifer,am schrottreifsten
minuziös,minuziöser,am minuziösesten
aerob,—,—
dreisilbig,—,—
hethitisch,—,—
fristlos,—,—
sonnenarm,sonnenärmer,am sonnenärmsten
krätzig,—,—
neunzehnstündig,—,—
etabliert,etablierter,am etabliertesten
unbesehen,—,—
stochastisch,—,—
unbeirrt,unbeirrter,am unbeirrtesten
benthal,—,—
knitterfrei,—,—
großmütig,großmütiger,am großmütigsten
elenktisch,—,—
jaden,—,—
tortenartig,—,—
fahlgrau,—,—
belämmert,belämmerter,am belämmertsten
gelblich,gelblicher,am gelblichsten
präsidiabel,präsidiabler,am präsidiabelsten
unbefristet,—,—
subnival,—,—
vollbusig,vollbusiger,am vollbusigsten
langatmig,langatmiger,am langatmigsten
ausgesprochen,—,—
isolationistisch,isolationistischer,am isolationistischsten
neovitalistisch,—,—
endokrin,—,—
austromarxistisch,—,—
renal,—,—
tentativ,—,—
überfüllt,überfüllter,am überfülltesten
kommensurabel,kommensurabler,am kommensurabelsten
iatrisch,—,—
denkbar,denkbarer,am denkbarsten
schokoladig,schokoladiger,am schokoladigsten
pornographisch,pornographischer,am pornographischsten
andächtig,andächtiger,am andächtigsten
manieriert,manierierter,am manieriertesten
Boltenhagener,—,—
dumm,dümmer,am dümmsten
flächig,flächiger,am flächigsten
1-tägig,—,—
siebzehnjährig,—,—
overdressed,—,—
achtlos,achtloser,am achtlosesten
mnemotechnisch,—,—
mauve,—,—
hingebungsvoll,hingebungsvoller,am hingebungsvollsten
ambig,—,—
parteiisch,parteiischer,am parteiischsten
unwirtlich,unwirtlicher,am unwirtlichsten
selbstgemacht,—,—
halbtäglich,—,—
chemisch,—,—
myogen,—,—
inhaltslos,—,—
abbruchreif,abbruchreifer,am abbruchreifsten
zweiwertig,—,—
nutzbar,nutzbarer,am nutzbarsten
vertragstreu,—,—
staubig,staubiger,am staubigsten
meterhoch,—,—
gerichtskostenfrei,—,—
konzentrisch,—,—
tussig,tussiger,am tussigsten
quadratförmig,—,—
wüstenhaft,wüstenhafter,am wüstenhaftesten
einkeimblättrig,—,—
bequem,bequemer,am bequemsten
einbauend,—,—
fünfprozentig,—,—
fließbar,—,—
kartoffelig,kartoffeliger,am kartoffeligsten
postalveolar,—,—
tagtäglich,—,—
rott,rotter,am rottesten
weich,weicher,am weichsten
bacchantisch,bacchantischer,am bacchantischsten
krumpelig,krumpeliger,am krumpeligsten
