speaker,party,unique_speaker
Abgeordnete Tanja Graf,ÖVP,Abgeordnete Tanja Graf
Abgeordneter Peter Wurm,FPÖ,Abgeordneter Peter Wurm
Abgeordneter Kai Jan Krainer (SPÖ),SPÖ,Abgeordneter Kai Jan Krainer
Abgeordneter Mag. Andreas Hanger (ÖVP),ÖVP,Abgeordneter Mag. Andreas Hanger
Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS),NEOS,Abgeordnete Dipl.-Ing. Karin Doppelbauer
Abgeordnete Dr. Elisabeth Götze,Grüne,Abgeordnete Dr. Elisabeth Götze
"Bundesminister für Finanzen Dr. Magnus Brunner, LL.M.",ÖVP,"Dr. Magnus Brunner, LL.M."
Abgeordnete Angela Baumgartner,ÖVP,Abgeordnete Angela Baumgartner
"Abgeordneter Mag. Dr. Jakob Schwarz, BA",Grüne,"Abgeordneter Mag. Dr. Jakob Schwarz, BA"
Abgeordneter MMag. DDr. Hubert Fuchs,FPÖ,Abgeordneter MMag. DDr. Hubert Fuchs
Abgeordnete Mag. Sibylle Hamann,Grüne,Abgeordnete Mag. Sibylle Hamann
Abgeordnete Mag. Selma Yildirim,SPÖ,Abgeordnete Mag. Selma Yildirim
Abgeordneter Gabriel Obernosterer,ÖVP,Abgeordneter Gabriel Obernosterer
Abgeordneter Dr. Christoph Matznetter (SPÖ),SPÖ,Abgeordneter Dr. Christoph Matznetter
Abgeordneter Erwin Angerer (FPÖ),FPÖ,Abgeordneter Erwin Angerer
Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller,ÖVP,Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller
"Abgeordnete Melanie Erasim, MSc",SPÖ,"Abgeordnete Melanie Erasim, MSc"
"Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie Leonore Gewessler, BA",Grüne,"Abgeordnete Leonore Gewessler, BA"
Abgeordneter Dipl.-Ing. Gerhard Deimek,FPÖ,Abgeordneter Dipl.-Ing. Gerhard Deimek
"Abgeordneter Hermann Weratschnig, MBA MSc",Grüne,"Abgeordneter Hermann Weratschnig, MBA MSc"
"Abgeordneter Christian Hafenecker, MA",FPÖ,"Abgeordneter Christian Hafenecker, MA"
Abgeordneter Maximilian Lercher,SPÖ,Abgeordneter Maximilian Lercher
Abgeordneter Andreas Ottenschläger,ÖVP,Abgeordneter Andreas Ottenschläger
Abgeordneter Gabriel Obernosterer (ÖVP),ÖVP,Abgeordneter Gabriel Obernosterer
"Abgeordnete Dr. Pamela Rendi-Wagner, MSc",SPÖ,"Abgeordnete Dr. Pamela Rendi-Wagner, MSc"
Bundeskanzler Sebastian Kurz,ÖVP,Sebastian Kurz
Abgeordneter Rainer Wimmer,SPÖ,Abgeordneter Rainer Wimmer
Abgeordneter August Wöginger (ÖVP),ÖVP,Abgeordneter August Wöginger
Abgeordneter Karlheinz Kopf,ÖVP,Abgeordneter Karlheinz Kopf
Abgeordneter Mag. Gerald Loacker (NEOS),NEOS,Abgeordneter Mag. Gerald Loacker
Abgeordnete Julia Elisabeth Herr (SPÖ),SPÖ,Abgeordnete Julia Elisabeth Herr
"Abgeordnete Martina Kaufmann, MMSc BA",ÖVP,"Abgeordnete Martina Kaufmann, MMSc BA"
Abgeordneter Michael Schnedlitz,FPÖ,Abgeordneter Michael Schnedlitz
"Bundesministerin für Arbeit, Familie und Jugend Mag. (FH) Christine Aschbacher",ÖVP,"Bundesministerin für Arbeit, Familie und Jugend Mag. (FH) Christine Aschbacher"
Abgeordneter Klaus Köchl (SPÖ),SPÖ,Abgeordneter Klaus Köchl
Abgeordnete Dr. Gudrun Kugler,ÖVP,Abgeordnete Dr. Gudrun Kugler
Abgeordneter Herbert Kickl (FPÖ),FPÖ,Abgeordneter Herbert Kickl
"Bundesminister für Inneres Karl Nehammer, MSc",ÖVP,"Karl Nehammer, MSc"
Abgeordneter Mag. Jörg Leichtfried,SPÖ,Abgeordneter Mag. Jörg Leichtfried
Abgeordneter Mag. Georg Bürstmayr,Grüne,Abgeordneter Mag. Georg Bürstmayr
"Abgeordneter Dr. Nikolaus Scherak, MA (NEOS)",NEOS,"Abgeordneter Dr. Nikolaus Scherak, MA"
Abgeordnete Mag. Michaela Steinacker,ÖVP,Abgeordnete Mag. Michaela Steinacker
Abgeordnete Sabine Schatz,SPÖ,Abgeordnete Sabine Schatz
Abgeordneter David Stögmüller (Grüne),Grüne,Abgeordneter David Stögmüller
Abgeordnete Dr. Stephanie Krisper,NEOS,Abgeordnete Dr. Stephanie Krisper
Abgeordnete Petra Steger,FPÖ,Abgeordnete Petra Steger
Abgeordneter Mag. Wolfgang Gerstl,ÖVP,Abgeordneter Mag. Wolfgang Gerstl
Abgeordnete Nurten Yılmaz,SPÖ,Abgeordnete Nurten Yılmaz
Abgeordnete Mag. Eva Blimlinger,Grüne,Abgeordnete Mag. Eva Blimlinger
Abgeordneter Mag. Felix Eypeltauer (NEOS),NEOS,Abgeordneter Mag. Felix Eypeltauer
Abgeordneter Dr. Christian Stocker,ÖVP,Abgeordneter Dr. Christian Stocker
"Abgeordnete Bedrana Ribo, MA (Grüne)",Grüne,"Abgeordnete Bedrana Ribo, MA"
"Abgeordneter Christian Hafenecker, MA (FPÖ)",FPÖ,"Abgeordneter Christian Hafenecker, MA"
Abgeordneter August Wöginger,ÖVP,Abgeordneter August Wöginger
"Abgeordnete Sigrid Maurer, BA (Grüne)",Grüne,"Abgeordnete Sigrid Maurer, BA"
"Abgeordnete Mag. Beate Meinl-Reisinger, MES",NEOS,"Abgeordnete Mag. Beate Meinl-Reisinger, MES"
"Bundesminister für Finanzen Mag. Gernot Blümel, MBA",ÖVP,"Mag. Gernot Blümel, MBA"
"Abgeordneter Hermann Weratschnig, MBA MSc (Grüne)",Grüne,"Abgeordneter Hermann Weratschnig, MBA MSc"
Mag. Wolfgang Sobotka,ÖVP,Abgeordneter Mag. Wolfgang Sobotka
Abgeordneter Ralph Schallmeiner,Grüne,Abgeordneter Ralph Schallmeiner
Bundesministerin für EU und Verfassung im Bundeskanzleramt Mag. Karoline Edtstadler,ÖVP,Bundesministerin für EU und Verfassung im Bundeskanzleramt Mag. Karoline Edtstadler
Abgeordneter Mag. Gerhard Kaniak (FPÖ),FPÖ,Abgeordneter Mag. Gerhard Kaniak
Abgeordneter Mag. Klaus Fürlinger (ÖVP),ÖVP,Abgeordneter Mag. Klaus Fürlinger
Abgeordneter Mag. Harald Stefan,FPÖ,Abgeordneter Mag. Harald Stefan
Abgeordneter Mag. Felix Eypeltauer,NEOS,Abgeordneter Mag. Felix Eypeltauer
Abgeordnete Gabriela Schwarz (ÖVP),ÖVP,Abgeordnete Gabriela Schwarz
Abgeordneter Douglas Hoyos-Trauttmansdorff (NEOS),NEOS,Abgeordneter Douglas Hoyos-Trauttmansdorff
Abgeordneter Philip Kucher (SPÖ),SPÖ,Abgeordneter Philip Kucher
Abgeordneter Süleyman Zorba (Grüne),Grüne,Abgeordneter Süleyman Zorba
Abgeordnete Mag. Verena Nussbaum,SPÖ,Abgeordnete Mag. Verena Nussbaum
Abgeordnete Maria Großbauer (ÖVP),ÖVP,Abgeordnete Maria Großbauer
"Abgeordnete Melanie Erasim, MSc (SPÖ)",SPÖ,"Abgeordnete Melanie Erasim, MSc"
Abgeordneter Christoph Zarits,ÖVP,Abgeordneter Christoph Zarits
Abgeordneter Mag. Jörg Leichtfried (SPÖ),SPÖ,Abgeordneter Mag. Jörg Leichtfried
Abgeordneter Michael Schnedlitz (FPÖ),FPÖ,Abgeordneter Michael Schnedlitz
"Abgeordnete Sigrid Maurer, BA",Grüne,"Abgeordnete Sigrid Maurer, BA"
Abgeordnete Gabriele Heinisch-Hosek,SPÖ,Abgeordnete Gabriele Heinisch-Hosek
"Abgeordneter Hermann Brückl, MA",FPÖ,"Abgeordneter Hermann Brückl, MA"
Abgeordnete Mag. Dr. Sonja Hammerschmid,SPÖ,Abgeordnete Mag. Dr. Sonja Hammerschmid
Abgeordneter Sebastian Kurz,ÖVP,Sebastian Kurz
Abgeordneter Herbert Kickl,FPÖ,Abgeordneter Herbert Kickl
Abgeordneter Mag. Werner Kogler,Grüne,Mag. Werner Kogler
"Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)",NEOS,"Abgeordnete Mag. Beate Meinl-Reisinger, MES"
"Abgeordnete Leonore Gewessler, BA",Grüne,"Abgeordnete Leonore Gewessler, BA"
"Abgeordneter Dr. Nikolaus Scherak, MA",NEOS,"Abgeordneter Dr. Nikolaus Scherak, MA"
Abgeordnete Elisabeth Köstinger,ÖVP,Abgeordnete Elisabeth Köstinger
Abgeordnete Dr. Ewa Ernst-Dziedzic,Grüne,Abgeordnete Dr. Ewa Ernst-Dziedzic
Abgeordnete Gabriela Schwarz,ÖVP,Abgeordnete Gabriela Schwarz
Abgeordnete Mag. Andrea Kuntzl (SPÖ),SPÖ,Abgeordnete Mag. Andrea Kuntzl
"Abgeordneter Michel Reimon, MBA",Grüne,"Abgeordneter Michel Reimon, MBA"
